Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season
26/09/18,Roma,Frosinone,4,0,H,3,0,H,,18,8,13,3,13,8,4,3,0,1,0,0,1819
26/09/18,Udinese,Lazio,1,2,A,0,0,D,,10,5,6,2,7,17,6,4,2,6,0,0,1819
27/09/18,Empoli,Milan,1,1,D,0,1,A,,4,16,3,11,12,9,3,10,2,2,0,0,1819
27/09/18,Spal,Sassuolo,0,2,A,0,0,D,,6,10,2,5,16,12,6,7,1,0,0,0,1819
29/09/18,Inter,Cagliari,2,0,H,1,0,H,,12,4,8,1,13,11,9,4,1,4,0,0,1819
29/09/18,Juventus,Napoli,3,1,H,1,1,D,,14,9,9,6,14,11,7,4,3,5,0,1,1819
29/09/18,Roma,Lazio,3,1,H,1,0,H,,10,11,7,5,11,10,8,9,3,1,0,0,1819
30/09/18,Bologna,Udinese,2,1,H,1,1,D,,11,10,6,2,7,12,3,4,2,4,0,0,1819
30/09/18,Chievo,Torino,0,1,A,0,0,D,,8,13,3,5,15,17,3,8,3,3,0,0,1819
30/09/18,Fiorentina,Atalanta,2,0,H,0,0,D,,6,11,4,4,12,10,5,6,3,3,0,0,1819
30/09/18,Frosinone,Genoa,1,2,A,1,2,A,,13,7,6,5,21,18,5,2,3,2,0,0,1819
30/09/18,Parma,Empoli,1,0,H,1,0,H,,7,10,3,6,13,8,2,12,2,3,0,0,1819
30/09/18,Sassuolo,Milan,1,4,A,0,1,A,,8,10,2,10,14,11,9,5,1,1,0,0,1819
01/10/18,Sampdoria,Spal,2,1,H,1,1,D,,16,10,9,4,13,18,6,5,3,3,0,0,1819
05/10/18,Torino,Frosinone,3,2,H,1,0,H,,15,8,10,4,16,17,2,4,3,3,0,0,1819
06/10/18,Cagliari,Bologna,2,0,H,1,0,H,,8,10,5,4,8,16,4,4,2,4,0,0,1819
06/10/18,Empoli,Roma,0,2,A,0,1,A,,11,7,4,4,13,10,4,3,2,1,0,0,1819
06/10/18,Udinese,Juventus,0,2,A,0,2,A,,5,13,4,7,14,13,4,8,3,1,0,0,1819
07/10/18,Atalanta,Sampdoria,0,1,A,0,0,D,,15,6,6,3,17,13,9,4,2,4,0,0,1819
07/10/18,Genoa,Parma,1,3,A,1,3,A,,20,7,13,5,9,9,9,7,1,1,0,0,1819
07/10/18,Lazio,Fiorentina,1,0,H,1,0,H,,11,10,5,6,18,10,5,6,5,3,0,0,1819
07/10/18,Milan,Chievo,3,1,H,2,0,H,,14,4,7,2,9,12,12,7,1,1,0,0,1819
07/10/18,Napoli,Sassuolo,2,0,H,1,0,H,,12,10,7,7,11,8,4,4,2,2,0,1,1819
07/10/18,Spal,Inter,1,2,A,0,1,A,,9,6,6,4,13,20,10,9,6,2,0,0,1819
